,프로그램명,주차,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
16,악의꽃,202033.5,2856.67,17507.25,1792890.33,787.5,73.75,4.76,3.12,2.62,2.42,1.28,578198.5,475670.17,2.84,2.11
17,구미호뎐,202043.5,2563.42,17710.17,4159856.67,798.83,94.0,3.89,3.23,5.23,2.12,1.46,746376.58,700825.75,3.66,3.12
18,여신강림,202073.82,2481.64,30106.36,5543396.27,1343.27,98.27,3.18,4.78,6.67,3.07,1.6,552509.45,527146.55,2.72,2.35
19,슬기로운의사생활2,202129.0,2475.0,16838.71,3284307.06,787.41,47.06,5.97,4.14,4.49,2.44,0.86,1635089.12,1550013.71,8.06,6.95
20,그남자의기억법,202014.5,2121.75,14077.25,874642.5,712.08,90.67,2.32,2.03,1.12,1.85,1.57,508343.25,297494.25,2.55,1.33
21,한번다녀왔습니다,202024.0,2045.59,17145.67,2939757.74,842.26,74.78,3.1,2.79,4.04,2.33,1.25,5023118.56,1996225.59,24.93,8.86
22,지리산,202144.0,1984.45,9441.36,676733.55,738.45,76.18,4.12,2.82,0.97,2.31,1.35,992083.36,738475.18,4.94,3.39
23,런온,202076.5,1814.2,9879.8,745742.8,812.2,62.5,2.28,1.53,0.89,1.85,1.01,328372.3,246235.9,1.62,1.1
24,18어게인,202040.0,1432.62,10933.85,1068148.31,581.31,53.15,2.16,1.84,1.35,1.69,0.88,356926.08,261977.23,1.76,1.17
25,태종이방원,202149.5,1414.67,4773.33,225115.33,569.17,41.67,2.67,1.38,0.3,1.75,0.77,717662.5,224078.33,3.57,1.03
26,연모,202144.0,1407.15,6861.31,1445640.54,619.77,45.69,2.82,2.09,2.08,1.96,0.83,1139390.31,429919.77,5.67,1.97
